kind,N,nsteps,ranks,threads,resources,integrator,comm,kernel,rsqrt,dtype,runs,failed_runs,used_runs,outliers,total_mad,total_median,total_stdev,force_median,comm_wait_median,comm_bandwidth_GBps,gpairs_median,speedup,efficiency,all_ok
strong,20000,20,1,1,1,kdk,overlap,direct,exact,double,5,0,3,2,0.011768,31.207836,0.0063123701042741035,29.046729,0.0,0.0,0.289175,1.0,1.0,True
strong,20000,20,2,1,2,kdk,overlap,direct,exact,double,5,0,5,0,0.006878000000000384,15.983649,0.00990660759291472,14.434562,0.021806,0.2311290470512703,0.581907,1.9524850677088819,0.9762425338544409,True
strong,20000,20,4,1,4,kdk,overlap,direct,exact,double,5,0,5,0,0.006146000000001095,8.180247,0.006672519599072478,7.285791,0.050486,0.14974448361922116,1.152871,3.815023678380372,0.953755919595093,True
strong,20000,20,8,1,8,kdk,overlap,direct,exact,double,5,0,5,0,0.0059149999999998926,4.194994,0.011332511116253116,3.709976,0.078572,0.11225372906378862,2.264052,7.4393040848210985,0.9299130106026373,True
strong,20000,20,16,1,16,kdk,overlap,direct,exact,double,5,0,5,0,0.0004900000000001015,2.143435,0.0007377036667931858,1.889582,0.057345,0.16479204812974105,4.445204,14.559730526001488,0.909983157875093,True
weak,2000,20,1,1,1,kdk,overlap,direct,exact,double,5,0,5,0,0.00012200000000001099,0.312143,0.00013925336620706263,0.290218,0.0,0.0,0.289292,1.0,1.0,True
weak,4000,20,2,1,2,kdk,overlap,direct,exact,double,5,0,5,0,0.0012329999999999286,0.643789,0.0025058367265246894,0.579901,0.001832,0.5502183406113537,0.579265,0.4848529564810831,0.24242647824054156,True
weak,8000,20,4,1,4,kdk,overlap,direct,exact,double,5,0,5,0,0.0005610000000000337,1.318541,0.0012026876984487424,1.173349,0.009224,0.3278404163052906,1.145296,0.23673363209790216,0.05918340802447554,True
weak,16000,20,8,1,8,kdk,overlap,direct,exact,double,5,0,4,1,0.001304000000000194,2.685263,0.0015783027540156199,2.375441,0.0442305,0.1595279275612982,2.2630175,0.11624298997900764,0.014530373747375955,True
weak,32000,20,16,1,16,kdk,overlap,direct,exact,double,5,0,4,1,0.0008759999999998769,5.445235,0.001675756421242162,4.8004180000000005,0.1369695,0.11038953927699233,4.47947,0.057324064067023735,0.0035827540041889834,True
