kind,N,nsteps,ranks,threads,repeat,integrator,comm,kernel,rsqrt,dtype,total,io,drift,force,comm_wait,kick,energy,gpairs,status,max_rel_drift
strong,20000,20,8,2,1,kdk,overlap,direct,exact,double,2.210765,0.000689,0.000058,1.895534,0.068320,0.000318,0.314656,4.431246,OK,5.2001751664521039e-08
strong,20000,20,8,2,2,kdk,overlap,direct,exact,double,2.213702,0.000631,0.000052,1.896619,0.075542,0.000212,0.316758,4.428713,OK,2.7529162254699258e-07
strong,20000,20,8,2,3,kdk,overlap,direct,exact,double,2.220040,0.000490,0.000053,1.901071,0.077761,0.000217,0.318550,4.418340,OK,2.1491956738641485e-07
strong,20000,20,8,2,4,kdk,overlap,direct,exact,double,2.250036,0.000483,0.000163,1.907963,0.082293,0.000345,0.341615,4.402381,OK,1.6799536988577674e-07
strong,20000,20,8,2,5,kdk,overlap,direct,exact,double,2.227431,0.000669,0.000059,1.905024,0.083788,0.000159,0.321756,4.409174,OK,2.4588968890796005e-07
weak,16000,20,8,2,1,kdk,overlap,direct,exact,double,1.418850,0.000338,0.000073,1.216152,0.046957,0.000194,0.202490,4.420224,OK,1.0392502743456506e-07
weak,16000,20,8,2,2,kdk,overlap,direct,exact,double,1.439435,0.000339,0.000074,1.232469,0.061245,0.000200,0.207695,4.361702,OK,9.0997473842476426e-08
weak,16000,20,8,2,3,kdk,overlap,direct,exact,double,1.426406,0.000356,0.000077,1.219570,0.051374,0.000297,0.206479,4.407834,OK,2.1624576134381737e-07
weak,16000,20,8,2,4,kdk,overlap,direct,exact,double,1.417571,0.000571,0.000295,1.218034,0.049756,0.000200,0.199227,4.413393,OK,1.7182310580036813e-07
weak,16000,20,8,2,5,kdk,overlap,direct,exact,double,1.430975,0.000436,0.000076,1.221484,0.052853,0.000124,0.209344,4.400929,OK,3.6269107120304708e-07
