kind,N,nsteps,ranks,threads,resources,integrator,comm,kernel,rsqrt,dtype,runs,failed_runs,used_runs,outliers,total_mad,total_median,total_stdev,force_median,comm_wait_median,comm_bandwidth_GBps,gpairs_median,speedup,efficiency,all_ok
strong,20000,20,16,1,16,kdk,overlap,direct,exact,double,5,0,5,0,0.0011499999999999844,2.146987,0.0018627646120753455,1.892932,0.055945,0.16891589954419517,4.437339,1.0,1.0,True
weak,32000,20,16,1,16,kdk,overlap,direct,exact,double,5,0,3,2,0.0007999999999999119,5.450892,0.0006640090360832606,4.80404,0.134865,0.11211211211211211,4.476093,1.0,1.0,True
strong,20000,20,8,2,16,kdk,overlap,direct,exact,double,5,0,5,0,0.0073910000000001475,2.22004,0.015698418318416753,1.901071,0.077761,0.1134244672779414,4.41834,1.0,1.0,True
weak,16000,20,8,2,16,kdk,overlap,direct,exact,double,5,0,5,0,0.007556000000000118,1.426406,0.009020665069716365,1.21957,0.051374,0.13734573908981196,4.407834,1.0,1.0,True
strong,20000,20,4,4,16,kdk,overlap,direct,exact,double,5,0,5,0,0.008679000000000325,2.239463,0.012903423317089258,1.910772,0.045924,0.16461980663705253,4.39591,1.0,1.0,True
weak,8000,20,4,4,16,kdk,overlap,direct,exact,double,5,0,5,0,0.0020979999999999888,0.380072,0.0029466684238305414,0.319364,0.011799,0.2562929061784897,4.207832,1.0,1.0,True
strong,20000,20,2,8,16,kdk,overlap,direct,exact,double,5,0,5,0,0.006514000000000131,2.196758,0.010692094238267927,1.898103,0.029015,0.17370325693606756,4.425251,1.0,1.0,True
weak,4000,20,2,8,16,kdk,overlap,direct,exact,double,5,0,4,1,0.00124500000000001,0.114828,0.0014692771465361287,0.0973955,0.003303,0.30517711171662126,3.449008,1.0,1.0,True
strong,20000,20,1,16,16,kdk,overlap,direct,exact,double,5,0,5,0,0.0017540000000000333,2.169464,0.0018858191853939978,1.901556,0.0,0.0,4.417214,1.0,1.0,True
weak,2000,20,1,16,16,kdk,overlap,direct,exact,double,5,0,5,0,0.0003039999999999987,0.047154,0.0004580013100417952,0.04063,0.0,0.0,2.066418,1.0,1.0,True
