Test_Type,Config,Time_Sec
Kernel,direct,44.160529
Kernel,direct,44.149135
Kernel,direct,44.148818
Kernel,direct,44.271122
Kernel,direct,44.276016
Kernel,newton,34.716222
Kernel,newton,34.812857
Kernel,newton,34.706936
Kernel,newton,34.723741
Kernel,newton,34.732375
Math,exact,3.647554
Math,exact,3.648845
Math,exact,3.647617
Math,exact,3.646931
Math,exact,3.651172
Math,approx,4.572851
Math,approx,4.569114
Math,approx,4.570389
Math,approx,4.567576
Math,approx,4.570689
Comm,sendrecv,3.642841
Comm,sendrecv,3.646663
Comm,sendrecv,3.650783
Comm,sendrecv,3.650199
Comm,sendrecv,3.648949
Comm,overlap,3.657414
Comm,overlap,3.655982
Comm,overlap,3.654412
Comm,overlap,3.656453
Comm,overlap,3.659946
