layout,N,threads,repeat,warmups,inner_repeats,rsqrt,force,gpairs,checksum
soa,50000,1,1,2,3,exact,28.3220771,0.26480579,-3.1468516681343317e-10
aos,50000,1,1,2,3,exact,25.3300926,0.296084586,-3.1468516681343317e-10
soa,50000,1,2,2,3,exact,28.3338605,0.264695663,-3.1468516681343317e-10
aos,50000,1,2,2,3,exact,25.3386221,0.295984918,-3.1468516681343317e-10
soa,50000,1,3,2,3,exact,28.3150777,0.264871249,-3.1468516681343317e-10
aos,50000,1,3,2,3,exact,25.3582371,0.29575597,-3.1468516681343317e-10
soa,50000,1,4,2,3,exact,28.3109169,0.264910176,-3.1468516681343317e-10
aos,50000,1,4,2,3,exact,25.3473023,0.295883559,-3.1468516681343317e-10
soa,50000,1,5,2,3,exact,28.3029039,0.264985177,-3.1468516681343317e-10
aos,50000,1,5,2,3,exact,25.3326198,0.296055049,-3.1468516681343317e-10
soa,50000,2,1,2,3,exact,14.1733163,0.529152798,1.1641532182693481e-08
aos,50000,2,1,2,3,exact,12.6941561,0.590811233,1.1641532182693481e-08
soa,50000,2,2,2,3,exact,14.1747505,0.529099258,1.1641532182693481e-08
aos,50000,2,2,2,3,exact,12.7050995,0.590302344,1.1641532182693481e-08
soa,50000,2,3,2,3,exact,14.181731,0.528838829,1.1641532182693481e-08
aos,50000,2,3,2,3,exact,12.7078124,0.590176321,1.1641532182693481e-08
soa,50000,2,4,2,3,exact,14.1594631,0.529670509,1.1641532182693481e-08
aos,50000,2,4,2,3,exact,12.7040782,0.590349798,1.1641532182693481e-08
soa,50000,2,5,2,3,exact,14.1850139,0.528716436,1.1641532182693481e-08
aos,50000,2,5,2,3,exact,12.6923011,0.590897579,1.1641532182693481e-08
soa,50000,4,1,2,3,exact,7.15315897,1.04846684,6.9849193096160889e-09
aos,50000,4,1,2,3,exact,6.37442258,1.17655363,7.2177499532699585e-09
soa,50000,4,2,2,3,exact,7.14050684,1.0503246,6.9849193096160889e-09
aos,50000,4,2,2,3,exact,6.37013881,1.17734483,6.9849193096160889e-09
soa,50000,4,3,2,3,exact,7.10459181,1.05563419,7.1013346314430237e-09
aos,50000,4,3,2,3,exact,6.35294351,1.18053151,7.2177499532699585e-09
soa,50000,4,4,2,3,exact,7.10046575,1.05624761,6.9849193096160889e-09
aos,50000,4,4,2,3,exact,6.37852872,1.17579623,6.9849193096160889e-09
soa,50000,4,5,2,3,exact,7.14801846,1.04922085,7.1013346314430237e-09
aos,50000,4,5,2,3,exact,6.40072879,1.17171813,7.2177499532699585e-09
soa,50000,8,1,2,3,exact,3.60822857,2.07854072,1.2689270079135895e-08
aos,50000,8,1,2,3,exact,3.23311857,2.31969532,1.3096723705530167e-08
soa,50000,8,2,2,3,exact,3.60820559,2.07855395,1.3038516044616699e-08
aos,50000,8,2,2,3,exact,3.22082811,2.32854711,1.280568540096283e-08
soa,50000,8,3,2,3,exact,3.59458853,2.08642795,1.3038516044616699e-08
aos,50000,8,3,2,3,exact,3.22328439,2.32677266,1.2863893061876297e-08
soa,50000,8,4,2,3,exact,3.59616168,2.08551524,1.280568540096283e-08
aos,50000,8,4,2,3,exact,3.23059308,2.32150872,1.2863893061876297e-08
soa,50000,8,5,2,3,exact,3.60784575,2.07876127,1.3038516044616699e-08
aos,50000,8,5,2,3,exact,3.22401495,2.32624542,1.280568540096283e-08
