kind,mode,N,ranks,threads,repeat,total,status,max_rel_drift
strong,native,10000,1,1,1,4.251440,OK,9.6892207702262021e-08
strong,container,10000,1,1,1,4.368817,OK,9.6892207702262021e-08
weak,native,1000,1,1,1,0.042628,OK,9.2623726816851345e-09
weak,container,1000,1,1,1,0.044143,OK,9.2623726816851345e-09
strong,native,10000,1,1,2,4.226727,OK,1.2883189321358717e-07
strong,container,10000,1,1,2,4.369408,OK,1.2883189321358717e-07
weak,native,1000,1,1,2,0.042673,OK,4.474811506921939e-09
weak,container,1000,1,1,2,0.044099,OK,4.474811506921939e-09
strong,native,10000,1,1,3,4.225521,OK,1.0446994775775096e-07
strong,container,10000,1,1,3,4.371434,OK,1.0446994775775096e-07
weak,native,1000,1,1,3,0.042604,OK,4.3933074193919677e-09
weak,container,1000,1,1,3,0.044027,OK,4.3933074193919677e-09
strong,native,10000,1,1,4,4.228706,OK,2.2435919520736814e-07
strong,container,10000,1,1,4,4.371480,OK,2.2435919520736814e-07
weak,native,1000,1,1,4,0.042646,OK,1.7334121405807652e-07
weak,container,1000,1,1,4,0.044226,OK,1.7334121405807652e-07
strong,native,10000,1,1,5,4.228265,OK,1.814586497983077e-07
strong,container,10000,1,1,5,4.374634,OK,1.814586497983077e-07
weak,native,1000,1,1,5,0.042620,OK,3.5783639443074482e-07
weak,container,1000,1,1,5,0.044112,OK,3.5783639443074482e-07
strong,native,10000,2,1,1,2.202016,OK,9.6892207441970742e-08
strong,container,10000,2,1,1,2.272283,OK,9.6892207441970742e-08
weak,native,2000,2,1,1,0.089190,OK,4.7457628678337172e-08
weak,container,2000,2,1,1,0.092279,OK,4.7457628678337172e-08
strong,native,10000,2,1,2,2.213031,OK,1.2883189321358717e-07
strong,container,10000,2,1,2,2.273229,OK,1.2883189321358717e-07
weak,native,2000,2,1,2,0.089318,OK,1.9389472905589722e-08
weak,container,2000,2,1,2,0.092502,OK,1.9389472905589722e-08
strong,native,10000,2,1,3,2.201110,OK,1.0446994801121223e-07
strong,container,10000,2,1,3,2.271732,OK,1.0446994801121223e-07
weak,native,2000,2,1,3,0.089285,OK,1.9392315050162833e-08
weak,container,2000,2,1,3,0.092746,OK,1.9392315050162833e-08
strong,native,10000,2,1,4,2.202678,OK,2.2435919520736809e-07
strong,container,10000,2,1,4,2.274503,OK,2.2435919520736809e-07
weak,native,2000,2,1,4,0.089434,OK,4.1159070809309548e-08
weak,container,2000,2,1,4,0.092396,OK,4.1159070809309548e-08
strong,native,10000,2,1,5,2.202421,OK,1.8145864979830776e-07
strong,container,10000,2,1,5,2.271366,OK,1.8145864979830776e-07
weak,native,2000,2,1,5,0.089197,OK,1.3781235904903783e-07
weak,container,2000,2,1,5,0.092140,OK,1.3781235904903783e-07
strong,native,10000,4,1,1,1.127685,OK,9.6892207441970742e-08
strong,container,10000,4,1,1,1.166132,OK,9.6892207441970742e-08
weak,native,4000,4,1,1,0.183310,OK,8.2763912087824304e-08
weak,container,4000,4,1,1,0.189322,OK,8.2763912087824304e-08
strong,native,10000,4,1,2,1.133623,OK,1.2883189321358717e-07
strong,container,10000,4,1,2,1.167237,OK,1.2883189321358717e-07
weak,native,4000,4,1,2,0.182747,OK,7.5110557376263961e-09
weak,container,4000,4,1,2,0.188917,OK,7.5110557376263961e-09
strong,native,10000,4,1,3,1.131605,OK,1.0446994801121223e-07
strong,container,10000,4,1,3,1.165768,OK,1.0446994801121223e-07
weak,native,4000,4,1,3,0.184866,OK,1.1311722324399842e-07
weak,container,4000,4,1,3,0.191225,OK,1.1311722324399842e-07
strong,native,10000,4,1,4,1.137869,OK,2.2435919520736809e-07
strong,container,10000,4,1,4,1.165876,OK,2.2435919520736809e-07
weak,native,4000,4,1,4,0.183174,OK,4.3753067656352721e-08
weak,container,4000,4,1,4,0.189204,OK,4.3753067656352721e-08
strong,native,10000,4,1,5,1.136859,OK,1.8145865005744936e-07
strong,container,10000,4,1,5,1.165971,OK,1.8145865005744936e-07
weak,native,4000,4,1,5,0.183239,OK,9.7179563911037394e-08
weak,container,4000,4,1,5,0.191444,OK,9.7179563911037394e-08
