mode,benchmark,metric,bytes,value
native,latency,latency_us,1,4.48
native,latency,latency_us,2,4.47
native,latency,latency_us,4,4.48
native,latency,latency_us,8,4.48
native,latency,latency_us,16,4.47
native,latency,latency_us,32,4.48
native,latency,latency_us,64,4.51
native,latency,latency_us,128,4.51
native,latency,latency_us,256,4.54
native,latency,latency_us,512,4.56
native,latency,latency_us,1024,4.70
native,latency,latency_us,2048,5.54
native,latency,latency_us,4096,6.06
native,latency,latency_us,8192,6.90
native,latency,latency_us,16384,8.66
native,latency,latency_us,32768,13.48
native,latency,latency_us,65536,30.52
native,latency,latency_us,131072,52.07
native,latency,latency_us,262144,71.49
native,latency,latency_us,524288,94.77
native,latency,latency_us,1048576,189.06
native,latency,latency_us,2097152,383.86
native,latency,latency_us,4194304,745.50
native,bandwidth,bandwidth_MBps,1,0.26
native,bandwidth,bandwidth_MBps,2,0.53
native,bandwidth,bandwidth_MBps,4,1.06
native,bandwidth,bandwidth_MBps,8,2.12
native,bandwidth,bandwidth_MBps,16,4.24
native,bandwidth,bandwidth_MBps,32,8.47
native,bandwidth,bandwidth_MBps,64,16.87
native,bandwidth,bandwidth_MBps,128,33.72
native,bandwidth,bandwidth_MBps,256,66.96
native,bandwidth,bandwidth_MBps,512,117.19
native,bandwidth,bandwidth_MBps,1024,233.04
native,bandwidth,bandwidth_MBps,2048,426.90
native,bandwidth,bandwidth_MBps,4096,766.92
native,bandwidth,bandwidth_MBps,8192,1460.57
native,bandwidth,bandwidth_MBps,16384,2281.63
native,bandwidth,bandwidth_MBps,32768,3491.03
native,bandwidth,bandwidth_MBps,65536,2813.76
native,bandwidth,bandwidth_MBps,131072,3057.34
native,bandwidth,bandwidth_MBps,262144,3913.79
native,bandwidth,bandwidth_MBps,524288,4194.06
native,bandwidth,bandwidth_MBps,1048576,4357.21
native,bandwidth,bandwidth_MBps,2097152,4535.51
native,bandwidth,bandwidth_MBps,4194304,4434.43
native,latency,latency_us,1,6.40
native,latency,latency_us,2,6.40
native,latency,latency_us,4,6.41
native,latency,latency_us,8,6.41
native,latency,latency_us,16,6.40
native,latency,latency_us,32,6.48
native,latency,latency_us,64,6.50
native,latency,latency_us,128,6.58
native,latency,latency_us,256,6.63
native,latency,latency_us,512,6.80
native,latency,latency_us,1024,7.04
native,latency,latency_us,2048,9.14
native,latency,latency_us,4096,10.63
native,latency,latency_us,8192,13.04
native,latency,latency_us,16384,18.21
native,latency,latency_us,32768,27.69
native,latency,latency_us,65536,61.74
native,latency,latency_us,131072,96.69
native,latency,latency_us,262144,178.25
native,latency,latency_us,524288,254.98
native,latency,latency_us,1048576,423.62
native,latency,latency_us,2097152,860.76
native,latency,latency_us,4194304,1595.41
native,bandwidth,bandwidth_MBps,1,0.19
native,bandwidth,bandwidth_MBps,2,0.38
native,bandwidth,bandwidth_MBps,4,0.77
native,bandwidth,bandwidth_MBps,8,1.53
native,bandwidth,bandwidth_MBps,16,3.07
native,bandwidth,bandwidth_MBps,32,6.11
native,bandwidth,bandwidth_MBps,64,12.20
native,bandwidth,bandwidth_MBps,128,24.17
native,bandwidth,bandwidth_MBps,256,41.48
native,bandwidth,bandwidth_MBps,512,81.58
native,bandwidth,bandwidth_MBps,1024,155.83
native,bandwidth,bandwidth_MBps,2048,272.91
native,bandwidth,bandwidth_MBps,4096,471.25
native,bandwidth,bandwidth_MBps,8192,776.98
native,bandwidth,bandwidth_MBps,16384,1105.73
native,bandwidth,bandwidth_MBps,32768,1516.65
native,bandwidth,bandwidth_MBps,65536,1345.32
native,bandwidth,bandwidth_MBps,131072,1427.61
native,bandwidth,bandwidth_MBps,262144,1675.97
native,bandwidth,bandwidth_MBps,524288,2157.63
native,bandwidth,bandwidth_MBps,1048576,2054.79
native,bandwidth,bandwidth_MBps,2097152,2740.57
native,bandwidth,bandwidth_MBps,4194304,2828.85
container,latency,latency_us,1,4.45
container,latency,latency_us,2,4.50
container,latency,latency_us,4,4.50
container,latency,latency_us,8,4.52
container,latency,latency_us,16,4.51
container,latency,latency_us,32,4.51
container,latency,latency_us,64,4.47
container,latency,latency_us,128,4.53
container,latency,latency_us,256,4.49
container,latency,latency_us,512,4.62
container,latency,latency_us,1024,4.72
