kind,mode,N,ranks,threads,repeat,total,status,max_rel_drift
strong,native,10000,1,1,1,37.505257,OK,2.9358195971782244e-07
strong,container,10000,1,1,1,38.809023,OK,2.9358195971782244e-07
weak,native,1000,1,1,1,0.376426,OK,2.5262970682774526e-07
weak,container,1000,1,1,1,0.389289,OK,2.5262970682774526e-07
strong,native,10000,1,1,2,37.677843,OK,3.8174675158287943e-07
strong,container,10000,1,1,2,38.785036,OK,3.8174675158287943e-07
weak,native,1000,1,1,2,0.376315,OK,1.6329441804556287e-07
weak,container,1000,1,1,2,0.389115,OK,1.6329441804556287e-07
strong,native,10000,1,1,3,37.445346,OK,2.481933737121987e-07
strong,container,10000,1,1,3,38.841766,OK,2.481933737121987e-07
weak,native,1000,1,1,3,0.377976,OK,1.3249852967034387e-07
weak,container,1000,1,1,3,0.388445,OK,1.3249852967034387e-07
strong,native,10000,1,1,4,37.525304,OK,2.2435919520736814e-07
strong,container,10000,1,1,4,38.776801,OK,2.2435919520736814e-07
weak,native,1000,1,1,4,0.376227,OK,1.9265839809115551e-07
weak,container,1000,1,1,4,0.389230,OK,1.9265839809115551e-07
strong,native,10000,1,1,5,37.617873,OK,1.9504939219337353e-07
strong,container,10000,1,1,5,38.890897,OK,1.9504939219337353e-07
weak,native,1000,1,1,5,0.376323,OK,3.5783639443074482e-07
weak,container,1000,1,1,5,0.389046,OK,3.5783639443074482e-07
strong,native,10000,2,1,1,19.211846,OK,2.9358195945753122e-07
strong,container,10000,2,1,1,19.864278,OK,2.9358195945753122e-07
weak,native,2000,2,1,1,0.776688,OK,2.4355237807051881e-07
weak,container,2000,2,1,1,0.803570,OK,2.4355237807051881e-07
strong,native,10000,2,1,2,19.275372,OK,3.8174675133083684e-07
strong,container,10000,2,1,2,19.884248,OK,3.8174675133083684e-07
weak,native,2000,2,1,2,0.777819,OK,2.9259215699256955e-07
weak,container,2000,2,1,2,0.803996,OK,2.9259215699256955e-07
strong,native,10000,2,1,3,19.252438,OK,2.4819337345873743e-07
strong,container,10000,2,1,3,19.899264,OK,2.4819337345873743e-07
weak,native,2000,2,1,3,0.776344,OK,1.9147915382963327e-07
weak,container,2000,2,1,3,0.803705,OK,1.9147915382963327e-07
strong,native,10000,2,1,4,19.317316,OK,2.2435919520736809e-07
strong,container,10000,2,1,4,19.869387,OK,2.2435919520736809e-07
weak,native,2000,2,1,4,0.777243,OK,1.8784354525392125e-07
weak,container,2000,2,1,4,0.804888,OK,1.8784354525392125e-07
strong,native,10000,2,1,5,19.329084,OK,1.9504939193423192e-07
strong,container,10000,2,1,5,19.885043,OK,1.9504939193423192e-07
weak,native,2000,2,1,5,0.779591,OK,1.616062558073215e-07
weak,container,2000,2,1,5,0.805067,OK,1.616062558073215e-07
strong,native,10000,4,1,1,9.843755,OK,2.9358195945753122e-07
strong,container,10000,4,1,1,10.133944,OK,2.9358195945753122e-07
weak,native,4000,4,1,1,1.589407,OK,1.5093149227934935e-07
weak,container,4000,4,1,1,1.636381,OK,1.5093149227934935e-07
strong,native,10000,4,1,2,9.821764,OK,3.8174675133083684e-07
strong,container,10000,4,1,2,10.117712,OK,3.8174675133083684e-07
weak,native,4000,4,1,2,1.588470,OK,1.2589603105710446e-07
weak,container,4000,4,1,2,1.636094,OK,1.2589603105710446e-07
strong,native,10000,4,1,3,9.826776,OK,2.4819337345873743e-07
strong,container,10000,4,1,3,10.112155,OK,2.4819337345873743e-07
weak,native,4000,4,1,3,1.590182,OK,2.257045866916339e-07
weak,container,4000,4,1,3,1.639932,OK,2.257045866916339e-07
strong,native,10000,4,1,4,9.833386,OK,2.2435919520736809e-07
strong,container,10000,4,1,4,10.115805,OK,2.2435919520736809e-07
weak,native,4000,4,1,4,1.591248,OK,1.1829832593906059e-07
weak,container,4000,4,1,4,1.638141,OK,1.1829832593906059e-07
strong,native,10000,4,1,5,9.829795,OK,1.9504939219337353e-07
strong,container,10000,4,1,5,10.135019,OK,1.9504939219337353e-07
weak,native,4000,4,1,5,1.594826,OK,1.8243360133067479e-07
weak,container,4000,4,1,5,1.638329,OK,1.8243360133067479e-07
