repeat,mode,benchmark,metric,bytes,value
1,native,latency,latency_us,1,4.42
1,native,latency,latency_us,2,4.46
1,native,latency,latency_us,4,4.45
1,native,latency,latency_us,8,4.44
1,native,latency,latency_us,16,4.45
1,native,latency,latency_us,32,4.46
1,native,latency,latency_us,64,4.48
1,native,latency,latency_us,128,4.46
1,native,latency,latency_us,256,4.50
1,native,latency,latency_us,512,4.54
1,native,latency,latency_us,1024,4.66
1,native,latency,latency_us,2048,5.60
1,native,latency,latency_us,4096,6.09
1,native,latency,latency_us,8192,6.89
1,native,latency,latency_us,16384,8.74
1,native,latency,latency_us,32768,13.40
1,native,latency,latency_us,65536,29.79
1,native,latency,latency_us,131072,49.01
1,native,latency,latency_us,262144,66.53
1,native,latency,latency_us,524288,93.60
1,native,latency,latency_us,1048576,147.00
1,native,latency,latency_us,2097152,324.92
1,native,latency,latency_us,4194304,636.62
1,native,bandwidth,bandwidth_MBps,1,0.26
1,native,bandwidth,bandwidth_MBps,2,0.53
1,native,bandwidth,bandwidth_MBps,4,1.06
1,native,bandwidth,bandwidth_MBps,8,2.13
1,native,bandwidth,bandwidth_MBps,16,4.22
1,native,bandwidth,bandwidth_MBps,32,8.45
1,native,bandwidth,bandwidth_MBps,64,16.89
1,native,bandwidth,bandwidth_MBps,128,33.66
1,native,bandwidth,bandwidth_MBps,256,59.37
1,native,bandwidth,bandwidth_MBps,512,118.06
1,native,bandwidth,bandwidth_MBps,1024,235.02
1,native,bandwidth,bandwidth_MBps,2048,431.45
1,native,bandwidth,bandwidth_MBps,4096,786.49
1,native,bandwidth,bandwidth_MBps,8192,1397.26
1,native,bandwidth,bandwidth_MBps,16384,2308.85
1,native,bandwidth,bandwidth_MBps,32768,3512.75
1,native,bandwidth,bandwidth_MBps,65536,2816.77
1,native,bandwidth,bandwidth_MBps,131072,3150.93
1,native,bandwidth,bandwidth_MBps,262144,4083.04
1,native,bandwidth,bandwidth_MBps,524288,4968.82
1,native,bandwidth,bandwidth_MBps,1048576,5894.44
1,native,bandwidth,bandwidth_MBps,2097152,6106.25
1,native,bandwidth,bandwidth_MBps,4194304,6416.81
1,container,latency,latency_us,1,4.36
1,container,latency,latency_us,2,4.32
1,container,latency,latency_us,4,4.33
1,container,latency,latency_us,8,4.33
1,container,latency,latency_us,16,4.33
1,container,latency,latency_us,32,4.34
1,container,latency,latency_us,64,4.36
1,container,latency,latency_us,128,4.38
1,container,latency,latency_us,256,4.40
1,container,latency,latency_us,512,4.46
1,container,latency,latency_us,1024,4.57
1,container,latency,latency_us,2048,5.46
1,container,latency,latency_us,4096,5.92
1,container,latency,latency_us,8192,6.74
1,container,latency,latency_us,16384,8.59
1,container,latency,latency_us,32768,13.32
1,container,latency,latency_us,65536,30.14
1,container,latency,latency_us,131072,51.75
1,container,latency,latency_us,262144,68.80
1,container,latency,latency_us,524288,93.65
1,container,latency,latency_us,1048576,151.90
1,container,latency,latency_us,2097152,290.81
1,container,latency,latency_us,4194304,570.54
1,container,bandwidth,bandwidth_MBps,1,0.27
1,container,bandwidth,bandwidth_MBps,2,0.53
1,container,bandwidth,bandwidth_MBps,4,1.06
1,container,bandwidth,bandwidth_MBps,8,2.13
1,container,bandwidth,bandwidth_MBps,16,4.27
1,container,bandwidth,bandwidth_MBps,32,8.51
1,container,bandwidth,bandwidth_MBps,64,16.99
1,container,bandwidth,bandwidth_MBps,128,33.89
1,container,bandwidth,bandwidth_MBps,256,59.15
1,container,bandwidth,bandwidth_MBps,512,119.25
1,container,bandwidth,bandwidth_MBps,1024,234.39
1,container,bandwidth,bandwidth_MBps,2048,429.06
1,container,bandwidth,bandwidth_MBps,4096,788.35
1,container,bandwidth,bandwidth_MBps,8192,1400.22
1,container,bandwidth,bandwidth_MBps,16384,2322.66
1,container,bandwidth,bandwidth_MBps,32768,3522.94
1,container,bandwidth,bandwidth_MBps,65536,2810.37
1,container,bandwidth,bandwidth_MBps,131072,3152.18
1,container,bandwidth,bandwidth_MBps,262144,4060.92
1,container,bandwidth,bandwidth_MBps,524288,4949.85
1,container,bandwidth,bandwidth_MBps,1048576,5833.71
1,container,bandwidth,bandwidth_MBps,2097152,6082.02
1,container,bandwidth,bandwidth_MBps,4194304,6156.69
2,native,latency,latency_us,1,4.45
2,native,latency,latency_us,2,4.44
2,native,latency,latency_us,4,4.46
2,native,latency,latency_us,8,4.44
2,native,latency,latency_us,16,4.45
2,native,latency,latency_us,32,4.46
2,native,latency,latency_us,64,4.49
2,native,latency,latency_us,128,4.50
2,native,latency,latency_us,256,4.55
2,native,latency,latency_us,512,4.59
2,native,latency,latency_us,1024,4.69
2,native,latency,latency_us,2048,5.63
2,native,latency,latency_us,4096,6.13
2,native,latency,latency_us,8192,6.91
2,native,latency,latency_us,16384,8.73
2,native,latency,latency_us,32768,13.37
2,native,latency,latency_us,65536,30.28
2,native,latency,latency_us,131072,51.48
2,native,latency,latency_us,262144,66.63
2,native,latency,latency_us,524288,92.35
2,native,latency,latency_us,1048576,148.20
2,native,latency,latency_us,2097152,294.81
2,native,latency,latency_us,4194304,575.86
2,native,bandwidth,bandwidth_MBps,1,0.26
2,native,bandwidth,bandwidth_MBps,2,0.53
2,native,bandwidth,bandwidth_MBps,4,1.06
2,native,bandwidth,bandwidth_MBps,8,2.12
2,native,bandwidth,bandwidth_MBps,16,4.24
2,native,bandwidth,bandwidth_MBps,32,8.51
2,native,bandwidth,bandwidth_MBps,64,16.94
2,native,bandwidth,bandwidth_MBps,128,33.60
2,native,bandwidth,bandwidth_MBps,256,59.05
2,native,bandwidth,bandwidth_MBps,512,117.19
2,native,bandwidth,bandwidth_MBps,1024,232.45
2,native,bandwidth,bandwidth_MBps,2048,419.60
2,native,bandwidth,bandwidth_MBps,4096,779.42
2,native,bandwidth,bandwidth_MBps,8192,1356.07
2,native,bandwidth,bandwidth_MBps,16384,2268.65
2,native,bandwidth,bandwidth_MBps,32768,3514.59
2,native,bandwidth,bandwidth_MBps,65536,2796.71
2,native,bandwidth,bandwidth_MBps,131072,3143.87
2,native,bandwidth,bandwidth_MBps,262144,4032.99
2,native,bandwidth,bandwidth_MBps,524288,4888.21
2,native,bandwidth,bandwidth_MBps,1048576,5756.09
2,native,bandwidth,bandwidth_MBps,2097152,6060.23
2,native,bandwidth,bandwidth_MBps,4194304,6219.37
2,container,latency,latency_us,1,4.48
2,container,latency,latency_us,2,4.47
2,container,latency,latency_us,4,4.47
2,container,latency,latency_us,8,4.46
2,container,latency,latency_us,16,4.46
2,container,latency,latency_us,32,4.48
2,container,latency,latency_us,64,4.51
2,container,latency,latency_us,128,4.51
2,container,latency,latency_us,256,4.52
2,container,latency,latency_us,512,4.58
2,container,latency,latency_us,1024,4.68
2,container,latency,latency_us,2048,5.53
2,container,latency,latency_us,4096,6.05
2,container,latency,latency_us,8192,6.87
2,container,latency,latency_us,16384,8.75
2,container,latency,latency_us,32768,13.45
2,container,latency,latency_us,65536,29.88
2,container,latency,latency_us,131072,48.75
2,container,latency,latency_us,262144,66.98
2,container,latency,latency_us,524288,92.26
2,container,latency,latency_us,1048576,155.81
2,container,latency,latency_us,2097152,293.71
2,container,latency,latency_us,4194304,578.99
2,container,bandwidth,bandwidth_MBps,1,0.26
2,container,bandwidth,bandwidth_MBps,2,0.53
2,container,bandwidth,bandwidth_MBps,4,1.06
2,container,bandwidth,bandwidth_MBps,8,2.12
2,container,bandwidth,bandwidth_MBps,16,4.23
2,container,bandwidth,bandwidth_MBps,32,8.48
2,container,bandwidth,bandwidth_MBps,64,16.92
2,container,bandwidth,bandwidth_MBps,128,33.67
2,container,bandwidth,bandwidth_MBps,256,59.41
2,container,bandwidth,bandwidth_MBps,512,118.15
2,container,bandwidth,bandwidth_MBps,1024,234.34
2,container,bandwidth,bandwidth_MBps,2048,433.04
2,container,bandwidth,bandwidth_MBps,4096,782.88
2,container,bandwidth,bandwidth_MBps,8192,1388.20
2,container,bandwidth,bandwidth_MBps,16384,2305.60
2,container,bandwidth,bandwidth_MBps,32768,3517.48
