mode,benchmark,metric,bytes,value
native,latency,latency_us,1,4.44
native,latency,latency_us,2,4.42
native,latency,latency_us,4,4.40
native,latency,latency_us,8,4.39
native,latency,latency_us,16,4.40
native,latency,latency_us,32,4.41
native,latency,latency_us,64,4.42
native,latency,latency_us,128,4.44
native,latency,latency_us,256,4.47
native,latency,latency_us,512,4.53
native,latency,latency_us,1024,4.64
native,latency,latency_us,2048,5.52
native,latency,latency_us,4096,6.05
native,latency,latency_us,8192,6.83
native,latency,latency_us,16384,8.74
native,latency,latency_us,32768,13.45
native,latency,latency_us,65536,29.77
native,latency,latency_us,131072,49.19
native,latency,latency_us,262144,66.76
native,latency,latency_us,524288,92.78
native,latency,latency_us,1048576,147.05
native,latency,latency_us,2097152,292.13
native,latency,latency_us,4194304,584.50
native,bandwidth,bandwidth_MBps,1,0.26
native,bandwidth,bandwidth_MBps,2,0.53
native,bandwidth,bandwidth_MBps,4,1.06
native,bandwidth,bandwidth_MBps,8,2.12
native,bandwidth,bandwidth_MBps,16,4.25
native,bandwidth,bandwidth_MBps,32,8.49
native,bandwidth,bandwidth_MBps,64,16.93
native,bandwidth,bandwidth_MBps,128,33.75
native,bandwidth,bandwidth_MBps,256,59.29
native,bandwidth,bandwidth_MBps,512,118.46
native,bandwidth,bandwidth_MBps,1024,233.98
native,bandwidth,bandwidth_MBps,2048,431.52
native,bandwidth,bandwidth_MBps,4096,785.79
native,bandwidth,bandwidth_MBps,8192,1400.53
native,bandwidth,bandwidth_MBps,16384,2320.79
native,bandwidth,bandwidth_MBps,32768,3548.86
native,bandwidth,bandwidth_MBps,65536,2839.23
native,bandwidth,bandwidth_MBps,131072,3172.24
native,bandwidth,bandwidth_MBps,262144,4066.68
native,bandwidth,bandwidth_MBps,524288,4974.31
native,bandwidth,bandwidth_MBps,1048576,5865.75
native,bandwidth,bandwidth_MBps,2097152,6028.13
native,bandwidth,bandwidth_MBps,4194304,6251.24
container,latency,latency_us,1,4.36
container,latency,latency_us,2,4.35
container,latency,latency_us,4,4.42
container,latency,latency_us,8,4.38
container,latency,latency_us,16,4.46
container,latency,latency_us,32,4.47
container,latency,latency_us,64,4.50
container,latency,latency_us,128,4.50
container,latency,latency_us,256,4.52
container,latency,latency_us,512,4.57
container,latency,latency_us,1024,4.68
container,latency,latency_us,2048,5.49
container,latency,latency_us,4096,6.04
container,latency,latency_us,8192,6.88
container,latency,latency_us,16384,8.71
container,latency,latency_us,32768,13.48
container,latency,latency_us,65536,30.36
container,latency,latency_us,131072,48.83
container,latency,latency_us,262144,65.36
container,latency,latency_us,524288,93.48
container,latency,latency_us,1048576,149.71
container,latency,latency_us,2097152,302.18
container,latency,latency_us,4194304,578.28
container,bandwidth,bandwidth_MBps,1,0.26
container,bandwidth,bandwidth_MBps,2,0.53
container,bandwidth,bandwidth_MBps,4,1.06
container,bandwidth,bandwidth_MBps,8,2.12
container,bandwidth,bandwidth_MBps,16,4.24
container,bandwidth,bandwidth_MBps,32,8.51
container,bandwidth,bandwidth_MBps,64,17.01
container,bandwidth,bandwidth_MBps,128,33.78
container,bandwidth,bandwidth_MBps,256,59.55
container,bandwidth,bandwidth_MBps,512,118.49
container,bandwidth,bandwidth_MBps,1024,235.47
container,bandwidth,bandwidth_MBps,2048,432.70
container,bandwidth,bandwidth_MBps,4096,785.39
container,bandwidth,bandwidth_MBps,8192,1396.22
container,bandwidth,bandwidth_MBps,16384,2322.20
container,bandwidth,bandwidth_MBps,32768,3530.07
container,bandwidth,bandwidth_MBps,65536,2796.01
container,bandwidth,bandwidth_MBps,131072,3175.25
container,bandwidth,bandwidth_MBps,262144,4068.82
container,bandwidth,bandwidth_MBps,524288,4937.55
container,bandwidth,bandwidth_MBps,1048576,5855.08
container,bandwidth,bandwidth_MBps,2097152,6121.69
container,bandwidth,bandwidth_MBps,4194304,6317.79
