kind,mode,N,ranks,threads,repeat,total,status,max_rel_drift
strong,native,20000,1,1,1,31.156216,OK,9.0033941297671037e-08
strong,container,20000,1,1,1,32.062622,OK,9.0033941297671037e-08
weak,native,2000,1,1,1,0.311519,OK,9.0687891230367855e-08
weak,container,2000,1,1,1,0.321067,OK,9.0687891230367855e-08
strong,native,20000,1,1,2,31.155881,OK,6.2464734779829828e-08
strong,container,20000,1,1,2,32.062005,OK,6.2464734779829828e-08
weak,native,2000,1,1,2,0.310242,OK,1.6098794321079692e-07
weak,container,2000,1,1,2,0.320814,OK,1.6098794321079692e-07
strong,native,20000,1,1,3,31.161609,OK,9.66646353903577e-08
strong,container,20000,1,1,3,32.056541,OK,9.66646353903577e-08
weak,native,2000,1,1,3,0.311121,OK,1.9147915382963327e-07
weak,container,2000,1,1,3,0.320931,OK,1.9147915382963327e-07
strong,native,20000,1,1,4,31.157367,OK,1.3600818726233145e-07
strong,container,20000,1,1,4,32.053801,OK,1.3600818726233145e-07
weak,native,2000,1,1,4,0.310197,OK,6.663516157363373e-08
weak,container,2000,1,1,4,0.321816,OK,6.663516157363373e-08
strong,native,20000,1,1,5,31.157999,OK,2.3467126247132587e-07
strong,container,20000,1,1,5,32.052924,OK,2.3467126247132587e-07
weak,native,2000,1,1,5,0.310261,OK,1.616062558073215e-07
weak,container,2000,1,1,5,0.321330,OK,1.616062558073215e-07
strong,native,20000,2,1,1,16.071798,OK,9.0033940785783735e-08
strong,container,20000,2,1,1,nan,RUN_FAILED,nan
weak,native,4000,2,1,1,0.644613,OK,8.2763912087824304e-08
weak,container,4000,2,1,1,nan,RUN_FAILED,nan
strong,native,20000,2,1,2,16.071346,OK,6.2464735033933452e-08
strong,container,20000,2,1,2,nan,RUN_FAILED,nan
weak,native,4000,2,1,2,0.642275,OK,4.2616348547571881e-08
weak,container,4000,2,1,2,nan,RUN_FAILED,nan
strong,native,20000,2,1,3,16.062326,OK,9.6664635390357713e-08
strong,container,20000,2,1,3,nan,RUN_FAILED,nan
weak,native,4000,2,1,3,0.642239,OK,1.6533983608100323e-07
weak,container,4000,2,1,3,nan,RUN_FAILED,nan
strong,native,20000,2,1,4,16.067388,OK,1.3600818675307174e-07
strong,container,20000,2,1,4,nan,RUN_FAILED,nan
weak,native,4000,2,1,4,0.644135,OK,4.3753067656352721e-08
weak,container,4000,2,1,4,nan,RUN_FAILED,nan
strong,native,20000,2,1,5,16.070698,OK,2.3467126272969394e-07
strong,container,20000,2,1,5,nan,RUN_FAILED,nan
weak,native,4000,2,1,5,0.642357,OK,9.7179563911037394e-08
weak,container,4000,2,1,5,nan,RUN_FAILED,nan
strong,native,20000,4,1,1,8.146404,OK,9.0033941041727379e-08
strong,container,20000,4,1,1,nan,RUN_FAILED,nan
weak,native,8000,4,1,1,1.309819,OK,1.4546839723138055e-07
weak,container,8000,4,1,1,nan,RUN_FAILED,nan
strong,native,20000,4,1,2,8.154864,OK,6.2464734779829828e-08
strong,container,20000,4,1,2,nan,RUN_FAILED,nan
