kind,mode,N,ranks,threads,repeat,total,status,max_rel_drift
strong,native,10000,1,1,1,4.153441,OK,9.6892207702262021e-08
strong,container,10000,1,1,1,4.272618,OK,9.6892207702262021e-08
weak,native,1000,1,1,1,0.041518,OK,9.2623726816851345e-09
weak,container,1000,1,1,1,0.042955,OK,9.2623726816851345e-09
strong,native,10000,1,1,2,4.153034,OK,1.2883189321358717e-07
strong,container,10000,1,1,2,4.272411,OK,1.2883189321358717e-07
weak,native,1000,1,1,2,0.041501,OK,4.474811506921939e-09
weak,container,1000,1,1,2,0.043035,OK,4.474811506921939e-09
strong,native,10000,1,1,3,4.159277,OK,1.0446994775775096e-07
strong,container,10000,1,1,3,4.273937,OK,1.0446994775775096e-07
weak,native,1000,1,1,3,0.041470,OK,4.3933074193919677e-09
weak,container,1000,1,1,3,0.043041,OK,4.3933074193919677e-09
strong,native,10000,1,1,4,4.153097,OK,2.2435919520736814e-07
strong,container,10000,1,1,4,4.273552,OK,2.2435919520736814e-07
weak,native,1000,1,1,4,0.041508,OK,1.7334121405807652e-07
weak,container,1000,1,1,4,0.042925,OK,1.7334121405807652e-07
strong,native,10000,1,1,5,4.149500,OK,1.814586497983077e-07
strong,container,10000,1,1,5,4.273948,OK,1.814586497983077e-07
weak,native,1000,1,1,5,0.041492,OK,3.5783639443074482e-07
weak,container,1000,1,1,5,0.043004,OK,3.5783639443074482e-07
strong,native,10000,2,1,1,2.158057,OK,9.6892207441970742e-08
strong,container,10000,2,1,1,nan,RUN_FAILED,nan
weak,native,2000,2,1,1,0.087251,OK,4.7457628678337172e-08
weak,container,2000,2,1,1,nan,RUN_FAILED,nan
strong,native,10000,2,1,2,2.152662,OK,1.2883189321358717e-07
strong,container,10000,2,1,2,nan,RUN_FAILED,nan
weak,native,2000,2,1,2,0.087186,OK,1.9389472905589722e-08
weak,container,2000,2,1,2,nan,RUN_FAILED,nan
strong,native,10000,2,1,3,2.158888,OK,1.0446994801121223e-07
strong,container,10000,2,1,3,nan,RUN_FAILED,nan
weak,native,2000,2,1,3,0.087172,OK,1.9392315050162833e-08
weak,container,2000,2,1,3,nan,RUN_FAILED,nan
strong,native,10000,2,1,4,2.156292,OK,2.2435919520736809e-07
strong,container,10000,2,1,4,nan,RUN_FAILED,nan
weak,native,2000,2,1,4,0.087618,OK,4.1159070809309548e-08
weak,container,2000,2,1,4,nan,RUN_FAILED,nan
strong,native,10000,2,1,5,2.154800,OK,1.8145864979830776e-07
strong,container,10000,2,1,5,nan,RUN_FAILED,nan
weak,native,2000,2,1,5,0.087629,OK,1.3781235904903783e-07
weak,container,2000,2,1,5,nan,RUN_FAILED,nan
strong,native,10000,4,1,1,1.099265,OK,9.6892207441970742e-08
strong,container,10000,4,1,1,nan,RUN_FAILED,nan
weak,native,4000,4,1,1,0.177905,OK,8.2763912087824304e-08
weak,container,4000,4,1,1,nan,RUN_FAILED,nan
strong,native,10000,4,1,2,1.096864,OK,1.2883189321358717e-07
strong,container,10000,4,1,2,nan,RUN_FAILED,nan
weak,native,4000,4,1,2,0.177087,OK,7.5110557376263961e-09
weak,container,4000,4,1,2,nan,RUN_FAILED,nan
strong,native,10000,4,1,3,1.102573,OK,1.0446994801121223e-07
strong,container,10000,4,1,3,nan,RUN_FAILED,nan
weak,native,4000,4,1,3,0.177137,OK,1.1311722324399842e-07
weak,container,4000,4,1,3,nan,RUN_FAILED,nan
strong,native,10000,4,1,4,1.102303,OK,2.2435919520736809e-07
strong,container,10000,4,1,4,nan,RUN_FAILED,nan
weak,native,4000,4,1,4,0.178124,OK,4.3753067656352721e-08
weak,container,4000,4,1,4,nan,RUN_FAILED,nan
strong,native,10000,4,1,5,1.102395,OK,1.8145865005744936e-07
strong,container,10000,4,1,5,nan,RUN_FAILED,nan
weak,native,4000,4,1,5,0.177942,OK,9.7179563911037394e-08
weak,container,4000,4,1,5,nan,RUN_FAILED,nan
